item_id,run_id,part_name,profile,source,pdf_path,student_name,playable_yes_no,resembles_song_1_to_5,difficulty_1_to_5,confidence_1_to_5,notes
20260219_204904_519939:Snare Drum,20260219_204904_519939,Snare Drum,Intermediate,https://www.youtube.com/watch?v=lSD_L-xic9o,/home/frank/dev/music-paper/outputs/20260219_204904_519939/Snare_Drum.pdf,,,,,,
20260219_212018_000675:Bb Clarinet 1,20260219_212018_000675,Bb Clarinet 1,Easy Intermediate,https://www.youtube.com/watch?v=lSD_L-xic9o,/home/frank/dev/music-paper/outputs/20260219_212018_000675/Bb_Clarinet_1.pdf,,,,,,
20260219_204904_519939:Flute,20260219_204904_519939,Flute,Intermediate,https://www.youtube.com/watch?v=lSD_L-xic9o,/home/frank/dev/music-paper/outputs/20260219_204904_519939/Flute.pdf,,,,,,
20260219_183036_740189:Tuba,20260219_183036_740189,Tuba,Balanced,03 - Corinne Bailey Rae - Put Your Records On.flac,/home/frank/dev/music-paper/outputs/20260219_183036_740189/Tuba.pdf,,,,,,
20260219_192931_264298:Snare Drum,20260219_192931_264298,Snare Drum,Balanced,03 - Corinne Bailey Rae - Put Your Records On.flac,/home/frank/dev/music-paper/outputs/20260219_192931_264298/Snare_Drum.pdf,,,,,,
20260219_192931_264298:Tuba,20260219_192931_264298,Tuba,Balanced,03 - Corinne Bailey Rae - Put Your Records On.flac,/home/frank/dev/music-paper/outputs/20260219_192931_264298/Tuba.pdf,,,,,,
20260219_191332_574139:Bb Clarinet 1,20260219_191332_574139,Bb Clarinet 1,Balanced,03 - Corinne Bailey Rae - Put Your Records On.flac,/home/frank/dev/music-paper/outputs/20260219_191332_574139/Bb_Clarinet_1.pdf,,,,,,
20260219_204904_519939:Bb Clarinet 1,20260219_204904_519939,Bb Clarinet 1,Intermediate,https://www.youtube.com/watch?v=lSD_L-xic9o,/home/frank/dev/music-paper/outputs/20260219_204904_519939/Bb_Clarinet_1.pdf,,,,,,
20260219_205654_196741:Tuba,20260219_205654_196741,Tuba,Intermediate,https://www.youtube.com/watch?v=lSD_L-xic9o,/home/frank/dev/music-paper/outputs/20260219_205654_196741/Tuba.pdf,,,,,,
20260219_184914_600639:Tuba,20260219_184914_600639,Tuba,Balanced,03 - Corinne Bailey Rae - Put Your Records On.flac,/home/frank/dev/music-paper/outputs/20260219_184914_600639/Tuba.pdf,,,,,,
